#1
float modelicaC(1441,18)
# time,OperationalMode[-1/0/1],PLR,CR,PowerCooling[W],PowerHeating[W],QEva_flow[W],QFL_flow[W],TEvaEnt[K],TEvaLvg[K],mEva_flow[kg/s],QCon_flow[W],capFT,EIRFT,EIRFPLR,TConEnt[K],TConLvg[K],mCon_flow[kg/s]
4260,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
4320,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
4380,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
4440,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
4500,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
4560,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
4620,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
4680,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
4740,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
4800,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
4860,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
4920,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
4980,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
5040,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
5100,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
5160,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
5220,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
5280,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
5340,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
5400,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
5460,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
5520,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
5580,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
5640,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
5700,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
5760,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
5820,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
5880,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
5940,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
6000,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
6060,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
6120,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
6180,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
6240,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
6300,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
6360,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
6420,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
6480,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
6540,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
6600,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
6660,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
6720,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
6780,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
6840,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
6900,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
6960,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
7020,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
7080,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
7140,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
7200,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
7260,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
7320,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
7380,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
7440,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
7500,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
7560,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
7620,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
7680,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
7740,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
7800,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
7860,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
7920,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
7980,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
8040,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
8100,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
8160,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
8220,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
8280,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
8340,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
8400,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
8460,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
8520,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
8580,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
8640,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
8700,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
8760,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
8820,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
8880,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
8940,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
9000,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
9060,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
9120,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
9180,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
9240,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
9300,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
9360,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
9420,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
9480,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
9540,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
9600,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
9660,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
9720,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
9780,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
9840,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
9900,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
9960,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
10020,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
10080,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
10140,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
10200,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
10260,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
10320,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
10380,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
10440,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
10500,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
10560,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
10620,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
10680,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
10740,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
10800,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
10860,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
10920,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
10980,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
11040,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
11100,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
11160,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
11220,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
11280,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
11340,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
11400,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
11460,0,0.0,0,0.0,0,0.0,0,284.33,284.33,0.0,0.0,0.0,0.0,0.0,296.78999999999996,296.78999999999996,0.0
